Short_reference,Publication_year,Title,DOI,Journal,Taxonomic_group,Climate_change_stressor,Life_stage_exposed,Life_stage_tested,Trait_category,Trait_details,Additional_comments
Zheng_et_al_2013,2013,Physiological and biochemical thermoregulatory responses of Chinese bulbuls Pycnonotus sinensis to warm temperature: Phenotypic flexibility in a small passerine,10.1016/j.jtherbio.2013.03.003,Journal of Thermal Biology,Bird,Temperature,Adults,Adults,"Energetics and metabolism, Development",body mass; basal metabolic rate; mitochondrial state-4 respiration; mitochondrial cytochrome C oxidase activity,NA
Miller_et_al_2013,2013,"Differential thermal tolerance and energetic trajectories during ontogeny in porcelain crabs, genus Petrolisthes",10.1016/j.jtherbio.2012.11.005,Journal of Thermal Biology,Other invertebrate,Temperature,"Embryos, Larvae or juveniles","Embryos, Larvae or juveniles","Environmental tolerance and preference, Energetics and metabolism",thermal tolerance (LT50); oxygen consumption rate,NA
Diaz_et_al_2015,2015,Behavioral thermoregulation and critical thermal limits of giant keyhole limpet Megathura crenulata (Sowerby 1825) (Mollusca; Vetigastropoda),10.1016/j.jtherbio.2013.05.007,Journal of Thermal Biology,Other invertebrate,Temperature,Adults,Adults,Environmental tolerance and preference,CTMax,NA
Cheng_et_al_2015,2015,High temperature induces apoptosis and oxidative stress in pufferfish (Takifugu obscurus) blood cells,10.1016/j.jtherbio.2015.08.002,Journal of Thermal Biology,Fish,Temperature,Adults,Adults,"Environmental tolerance and preference, Immune function and stress physiology","Reactive oxygen species (ROS); cytoplasmic free-Ca2+ concentration; cell apoptosis; gene expression of heat shock proteins, antioxidant enzymes",NA
Everatt_et_al_2013,2013,"Heat tolerance and physiological plasticity in the Antarctic collembolan, Cryptopygus antarcticus, and mite, Alaskozetes antarcticus",10.1016/j.jtherbio.2013.08.006,Journal of Thermal Biology,Insect,Temperature,Adults,Adults,Environmental tolerance and preference,Upper lethal temperature; rapid heat hardening,NA
Ulaje_et_al_2020,2020,Litopenaeus vannamei oxygen consumption and HSP gene expression at cyclic conditions of hyperthermia and hypoxia,10.1016/j.jtherbio.2020.102666,Journal of Thermal Biology,Other invertebrate,"Temperature, O₂/CO₂",Adults,Adults,"Energetics and metabolism, Immune function and stress physiology",oxygen consumption; heat shock protein gene expression,NA
Wu_et_al_2020,2020,Cold stress regulates lipid metabolism via AMPK signalling in Cherax quadricarinatus,10.1016/j.jtherbio.2020.102693,Journal of Thermal Biology,Other invertebrate,Temperature,Adults,Adults,Energetics and metabolism,Total lipid content; triglyceride content; cholesterol content; free fatty acid levels in the hemolymph,NA
Sun_et_al_2019,2019,"Influence of long-term temperature stress on respiration frequency, Na+/K+-ATPase activity, and lipid metabolism in common carp (Cyprinus carpio)",10.1016/j.jtherbio.2019.05.009,Journal of Thermal Biology,Fish,Temperature,Adults,Adults,Energetics and metabolism,respiration frequency; Na+/K+-ATPase activity; lipid metabolism,NA
Kir_and_Demirci_2018,2018,"Thermal tolerance and standard metabolic rate of juvenile European sea bass (Dicentrarchus labrax, Linnaeus, 1758) acclimated to four temperatures",10.1016/j.jtherbio.2018.10.008,Journal of Thermal Biology,Fish,Temperature,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Energetics and metabolism",Thermal tolerance; standard metabolic rate; preferred temperature,NA
Katiyatiya_et_al_2017,2017,"Thermotolerance, health profile and cellular expression of HSP90AB1 in Nguni and Boran cows raised on natural pastures under tropical conditions",10.1016/j.jtherbio.2017.06.009,Journal of Thermal Biology,Mammal,Temperature,Adults,Adults,Environmental tolerance and preference,skin temperature; body thermal gradient; heat shock protein concentration; total cholesterol; urea,NA
Chen_et_al_2017,2017,Bama miniature pigs' liver possess great heat tolerance through upregulation of Nrf2-mediated antioxidative enzymes,10.1016/j.jtherbio.2017.04.012,Journal of Thermal Biology,Mammal,Temperature,Adults,Adults,"Environmental tolerance and preference, Immune function and stress physiology",hepatic damage marker; hepatic histology; hepatocyte ultrastructure; superoxide dismutase activity; glutathione peroxidase activity; catalase activity; glutathione content; hydrogen peroxide concentration; malondialdehyde concentration; expression of Nrf2-regulated genes,NA
Mortensen_and_Dunphy_2016,2016,Effect of tidal regime on the thermal tolerance of the marine gastropod Lunella smaragda (Gmelin 1791),10.1016/j.jtherbio.2016.07.009,Journal of Thermal Biology,Other invertebrate,Temperature,Adults,Adults,Environmental tolerance and preference,survivorship (LT50); drop down time (time to heat coma); thermal stability of Tauropine dehydrogenase enzyme,"Might need to be excluded since individuals were exposed to acute heat shock, not acclimation temperature?"
McDonald_et_al_2015,2015,Effect of salinity on the upper lethal temperature tolerance of early-juvenile red drum,10.1016/j.jtherbio.2015.08.004,Journal of Thermal Biology,Fish,"Temperature, Salinity",Larvae or juveniles,Larvae or juveniles,Environmental tolerance and preference,lethal temperature (LT50),NA
Wu_et_al_2019,2019,Effects and transcriptional responses in the hepatopancreas of red claw crayfish Cherax quadricarinatus under cold stress,10.1016/j.jtherbio.2019.102404,Journal of Thermal Biology,Other invertebrate,Temperature,Adults,Adults,Immune function and stress physiology,Hepatopancreas tissue enzyme activity; histological structure,NA
Gayathri_et_al_2018,2018,Culex quinquefasciatus Say larva adapts to temperature shock through changes in protein turn over and amino acid catabolism,10.1016/j.jtherbio.2018.03.016,Journal of Thermal Biology,Insect,Temperature,Larvae or juveniles,Larvae or juveniles,"Energetics and metabolism, Immune function and stress physiology",presence of putative uncharacterized protein; presence of Phospholipase A2 activating protein; activity of Phenol oxidase,NA
Camerro_et_al_2016,2016,Thermal equilibrium responses in Guzerat cattle raised under tropical conditions,10.1016/j.jtherbio.2016.07.007,Journal of Thermal Biology,Mammal,Temperature,Adults,Adults,Energetics and metabolism,metabolic heat production; heat exchange; respiratory rate,NA
Vesterdorf_et_al_2014,2014,"Immunolocalization of aquaporins 1, 3, and 5 in the nasal respiratory mucosa of a panting species, the sheep (Ovis aries)",10.1016/j.jtherbio.2014.04.003,Journal of Thermal Biology,Mammal,Temperature,Adults,Adults,Osmoregulation,localisation of aquaporins; respiratory rate,NA
Marmiy_et_al-2019,2019,Protective effect of exogenous 8-oxo-2′-deoxyguanosine on Drosophila melanogaster larval stages under heat shock,10.1016/j.jtherbio.2019.102446,Journal of Thermal Biology,Insect,Temperature,Larvae or juveniles,Larvae or juveniles,Development,larval development time,NA
Holmstrup_2018,2018,Screening of cold tolerance in fifteen springtail species,10.1016/j.jtherbio.2018.07.017,Journal of Thermal Biology,Insect,Temperature,Adults,Adults,Environmental tolerance and preference,body fluid melting point; water content; survival,NA
Zhang_et_al_2018,2018,A simulated heat wave shortens the telomere length and lifespan of a desert lizard,10.1016/j.jtherbio.2018.01.004,Journal of Thermal Biology,Reptile,Temperature,Adults,Adults,"Environmental tolerance and preference, Immune function and stress physiology",telomere length; survival; antioxidant capacity,NA
Bellakhal_et_al_2014,2014,"Effects of temperature, density and food quality on larval growth and metamorphosis in the north African green frog Pelophylax saharicus",10.1016/j.jtherbio.2014.08.006,Journal of Thermal Biology,Amphibian,"Temperature, Interaction with non-climatic stressor",Larvae or juveniles,Larvae or juveniles,Development,metamorphosis rate; survival rate; weight gain,NA
Chen_et_al_2014,2014,"Energy budget, oxidative stress and antioxidant in striped hamster acclimated to moderate cold and warm temperatures",10.1016/j.jtherbio.2014.06.005,Journal of Thermal Biology,Mammal,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Immune function and stress physiology",oxidative stress; antioxidant activity; metabolic rate;,NA
Aguilar-Alberola_et_al_2014,2014,"Breaking the temperature-size rule: Thermal effects on growth, development and fecundity of a crustacean from temporary waters",10.1016/j.jtherbio.2014.02.016,Journal of Thermal Biology,Other invertebrate,Temperature,Mix (before and after hatching),"Larvae or juveniles, Adults","Reproduction, Development",development rate; growth; adult body size; fecundity,NA
Franke_et_al_2014,2014,Fitness costs associated with different frequencies and magnitudes of temperature change in the butterfly Bicyclus anynana,10.1016/j.jtherbio.2014.02.006,Journal of Thermal Biology,Insect,Temperature,"Larvae or juveniles, Adults","Larvae or juveniles, Adults","Environmental tolerance and preference, Immune function and stress physiology, Reproduction, Development",development time; growth rate; body mass; fat content; protein content; immune competence; temperature stress resistance; reproductive output; longevity,NA
Zari_et_al_2013,2013,"Seasonal acclimation in resting metabolism of the skink, Mabuya brevicollis (Reptilia: Scincidae) from southwestern Saudi Arabia",10.1016/j.jtherbio.2013.06.004,Journal of Thermal Biology,Reptile,Temperature,Adults,Adults,Energetics and metabolism,resting metabolic rate,NA
Zhang_et_al_2020,2020,Dietary enzymatically-treated Artemisia annua L. supplementation could alleviate oxidative injury and improve reproductive performance of sows reared under high ambient temperature,10.1016/j.jtherbio.2020.102751,Journal of Thermal Biology,Mammal,Temperature,Adults,"Larvae or juveniles, Adults","Environmental tolerance and preference, Immune function and stress physiology",malondialdehyde content; total antioxidant capacity; total superoxide dismutase; colostrum yield; milk fat content; oxidative stress,NA
Souza_et_al_2020,2020,Purine levels and purinergic signaling in plasma and spleen of Brycon amazonicus exposed to acute heat thermal stress: An attempt to regulate the immune response,10.1016/j.jtherbio.2020.102569,Journal of Thermal Biology,Fish,Temperature,Larvae or juveniles,Larvae or juveniles,Immune function and stress physiology,Plasma cortisol levels; spleen adenosine triphosphate levels; adenosine diphosphate levels; adenosine monophosphate levels,NA
Qiang_et_al_2019,2019,"The effects of temperature and dissolved oxygen on the growth, survival and oxidative capacity of newly hatched hybrid yellow catfish larvae (Tachysurus fulvidraco♀ x Pseudobagrus vachellii♂)",10.1016/j.jtherbio.2019.102436,Journal of Thermal Biology,Fish,"Temperature, O₂/CO₂",Larvae or juveniles,Larvae or juveniles,Environmental tolerance and preference,survival; specific growth rate; oxidative stress; antioxidant enzyme activity,NA
Rodgers_et_al_2018,2018,"Plastic responses to diel thermal variation in juvenile green sturgeon, Acipenser medirostris",10.1016/j.jtherbio.2018.07.015,Journal of Thermal Biology,Fish,Temperature,Larvae or juveniles,Larvae or juveniles,"Environmental tolerance and preference, Development",relative growth rate; critical thermal maxima; critical swimming speed,NA
Wu_et_al_2018,2018,Altitude influences thermal ecology and thermal sensitivity of locomotor performance in a toad-headed lizard,10.1016/j.jtherbio.2017.11.005,Journal of Thermal Biology,Reptile,Temperature,Adults,Adults,Environmental tolerance and preference,sprint speed; body temperature; selected temperature,"Not sure which trait category ""sprint speed"" goes into"
Li_et_al_2017,2017,Long-term thermal manipulation in the late incubation period can inhibit breast muscle development by activating endoplasmic reticulum stress in duck (Anasplatyrhynchos domestica),10.1016/j.jtherbio.2017.10.008,Journal of Thermal Biology,Bird,Temperature,Embryos,"Embryos, Larvae or juveniles",Development,muscle development; relative weight of breast muscle,NA
Qiang_et_al_2017,2017,"Influences of dietary lipid and temperature on growth, fat deposition and lipoprotein lipase expression in darkbarbel catfish (Pelteobagrus vachellii)",10.1016/j.jtherbio.2017.07.014,Journal of Thermal Biology,Fish,"Temperature, Interaction with non-climatic stressor",Adults,Adults,Development,feed conversion rate; hepatopancreas somatic index; hepatic triglycerides levels; cholesterol levels; lipoprotein lipase gene expression; specific growth rate,NA
Chapperon_et_al_2016,2016,Exposure to solar radiation drives organismal vulnerability to climate: Evidence from an intertidal limpet,10.1016/j.jtherbio.2016.03.002,Journal of Thermal Biology,Other invertebrate,Temperature,Adults,Adults,"Environmental tolerance and preference, Energetics and metabolism, Cardiovascular physiology",upper thermal limit; heart rate; respiration rate,NA
Gama-Flores_et_al_2015,2015,Temperature and age affect the life history characteristics and fatty acid profiles of Moina macrocopa (Cladocera),10.1016/j.jtherbio.2015.10.005,Journal of Thermal Biology,Other invertebrate,Temperature,"Embryos, Larvae or juveniles, Adults","Embryos, Larvae or juveniles, Adults",Environmental tolerance and preference,survival; reproduction rate; myristic acid; palmitic acid; stearic acid; linoleic acid,Not sure what trait category fatty acid content comes under
